,Date,Weekday,Open,High,Low,Close,Adj Close,Volume
360,2011-06-29,Wednesday,24181.0,24504.0,24181.0,24504.0,24503.5,140361870
361,2011-07-02,Saturday,24503.0,24746.0,24503.0,24742.0,24742.2,104189693
362,2011-07-03,Sunday,24742.0,24811.0,24742.0,24743.0,24742.7,110389517
363,2011-07-04,Monday,24755.0,24756.0,24698.0,24698.0,24698.3,85698149
364,2011-07-05,Tuesday,24698.0,24869.0,24698.0,24817.0,24816.6,121610243
365,2011-07-06,Wednesday,24815.0,24838.0,24801.0,24801.0,24801.1,126087468
366,2011-07-09,Saturday,24800.0,24834.0,24717.0,24717.0,24716.9,100209323
367,2011-07-10,Sunday,24718.0,24730.0,24541.0,24541.0,24541.1,206685486
368,2011-07-11,Monday,24535.0,24548.0,24504.0,24504.0,24503.8,279717478
369,2011-07-12,Tuesday,24507.0,24511.0,24387.0,24387.0,24387.1,359061080
370,2011-07-13,Wednesday,24387.0,24392.0,24284.0,24287.0,24286.7,288230786
371,2011-07-16,Saturday,24283.0,24353.0,24283.0,24349.0,24348.9,144176816
372,2011-07-18,Monday,24355.0,24461.0,24355.0,24461.0,24460.7,248023707
373,2011-07-19,Tuesday,24460.0,24528.0,24460.0,24495.0,24494.6,211693787
374,2011-07-20,Wednesday,24501.0,24611.0,24501.0,24602.0,24602.0,93513341
375,2011-07-23,Saturday,24612.0,24810.0,24612.0,24810.0,24809.6,149454860
376,2011-07-24,Sunday,24847.0,25182.0,24847.0,25182.0,25181.7,154135703
377,2011-07-25,Monday,25179.0,25346.0,25179.0,25325.0,25325.4,241058816
378,2011-07-26,Tuesday,25355.0,25447.0,25352.0,25435.0,25434.6,179567691
379,2011-07-27,Wednesday,25432.0,25509.0,25432.0,25472.0,25471.8,231724475
380,2011-07-30,Saturday,25432.0,25509.0,25298.0,25298.0,25297.8,92839551
381,2011-07-31,Sunday,25295.0,25295.0,25111.0,25111.0,25110.8,109341121
382,2011-08-01,Monday,25112.0,25270.0,25112.0,25270.0,25270.0,325647893
383,2011-08-02,Tuesday,25290.0,25322.0,25284.0,25284.0,25284.5,131033273
384,2011-08-03,Wednesday,25286.0,25328.0,25286.0,25316.0,25316.3,135716840
385,2011-08-06,Saturday,25227.0,25227.0,25008.0,25008.0,25008.1,151352404
386,2011-08-07,Sunday,25008.0,25008.0,24924.0,24924.0,24923.6,110181510
387,2011-08-08,Monday,24961.0,25018.0,24961.0,24971.0,24970.8,281290498
388,2011-08-09,Tuesday,24946.0,24946.0,24597.0,24597.0,24596.7,212693442
389,2011-08-10,Wednesday,24617.0,24876.0,24617.0,24876.0,24875.8,198861698
390,2011-08-13,Saturday,24896.0,25005.0,24896.0,24997.0,24997.0,128564510
391,2011-08-14,Sunday,25036.0,25126.0,25036.0,25093.0,25092.8,214173505
392,2011-08-15,Monday,25090.0,25090.0,25059.0,25059.0,25059.3,193918451
393,2011-08-16,Tuesday,25097.0,25140.0,25090.0,25090.0,25090.5,285873689
394,2011-08-17,Wednesday,25152.0,25243.0,25152.0,25238.0,25237.6,444063259
395,2011-08-20,Saturday,25280.0,25281.0,25214.0,25232.0,25231.6,194746789
396,2011-08-21,Sunday,25228.0,25240.0,25217.0,25217.0,25217.0,262383915
